SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,2014,2015,2016,2017
Fulton County,Wolf Creek Elementary,Fulton County – Wolf Creek Elementary,,,,68
Fulton County,Fulton Academy of Science and Technology,Fulton County – Fulton Academy of Science and Technology,,,,43
Fulton County,Skyview High School,Fulton County – Skyview High School,,,,21
Gwinnett County,Coleman Middle School,Gwinnett County – Coleman Middle School,,,,229
Gwinnett County,Baldwin Elementary,Gwinnett County – Baldwin Elementary,,,,75
Gwinnett County,International Transition Center,Gwinnett County – International Transition Center,,,,54
Hall County,Riverbend Elementary School,Hall County – Riverbend Elementary School,,,,39
Mitchell County,Baconton Community Charter School,Mitchell County – Baconton Community Charter School,,,,10
Oconee County,High Shoals Elementary School,Oconee County – High Shoals Elementary School,,,,12
Pike County,Zebulon High School,Pike County – Zebulon High School,,,,47
Richmond County,W.S. Hornsby Elementary School,Richmond County – W.S. Hornsby Elementary School,,,,28
Terrell County,Cooper-Carver Elementary School,Terrell County – Cooper-Carver Elementary School,,,,124
Walker County,Cherokee Ridge Elementary,Walker County – Cherokee Ridge Elementary,,,,24
Wheeler County,Wheeler County Middle School,Wheeler County – Wheeler County Middle School,,,,179
Worth County,Worth County Achievement Center,Worth County – Worth County Achievement Center,,,,197
Atlanta Public Schools,Early College High School at Carver,Atlanta Public Schools – Early College High School at Carver,,,,50
Atlanta Public Schools,Neighborhood Charter School,Atlanta Public Schools – Neighborhood Charter School,,,,10
Atlanta Public Schools,South Atlanta High School,Atlanta Public Schools – South Atlanta High School,,,,303
Atlanta Public Schools,Carver High School,Atlanta Public Schools – Carver High School,,,,170
Atlanta Public Schools,Michael R. Hollis Innovation Academy,Atlanta Public Schools – Michael R. Hollis Innovation Academy,,,,179
Atlanta Public Schools,Woodson Park Academy,Atlanta Public Schools – Woodson Park Academy,,,,99
Atlanta Public Schools,Tuskegee Airman Global Academy,Atlanta Public Schools – Tuskegee Airman Global Academy,,,,61
Atlanta Public Schools,Smith Elementary School,Atlanta Public Schools – Smith Elementary School,,,,13
Atlanta Public Schools,Brandon Elementary School,Atlanta Public Schools – Brandon Elementary School,,,,71
State Charter Schools- Georgia Connections Academy,Georgia Connections Academy,State Charter Schools- Georgia Connections Academy – Georgia Connections Academy,,,,142
State Charter Schools- International Charter School of Atlanta,International Charter School of Atlanta,State Charter Schools- International Charter School of Atlanta – International Charter School of Atlanta,,,,63
Commission Charter Schools- Cirrus Charter Academy,Cirrus Charter Academy,Commission Charter Schools- Cirrus Charter Academy – Cirrus Charter Academy,,,,141
Commission Charter Schools- Brookhaven Innovation Academy,Brookhaven Innovation Academy,Commission Charter Schools- Brookhaven Innovation Academy – Brookhaven Innovation Academy,,,,20
Trion City,Trion Elementary School,Trion City – Trion Elementary School,,,,16
Appling County,All Schools,Appling County – All Schools,1043,787,1065,813
Atkinson County,All Schools,Atkinson County – All Schools,794,573,490,329
Bacon County,All Schools,Bacon County – All Schools,787,619,661,516
Baker County,All Schools,Baker County – All Schools,241,56,40,60
Baldwin County,All Schools,Baldwin County – All Schools,5810,5015,3912,4761
Banks County,All Schools,Banks County – All Schools,300,340,354,247
Barrow County,All Schools,Barrow County – All Schools,4622,4400,4318,3008
Bartow County,All Schools,Bartow County – All Schools,5268,4760,4059,4167
Ben Hill County,All Schools,Ben Hill County – All Schools,2710,3986,4121,2204
Berrien County,All Schools,Berrien County – All Schools,1953,1777,1354,1263
Bibb County,All Schools,Bibb County – All Schools,17253,16962,16214,17934
Bleckley County,All Schools,Bleckley County – All Schools,795,1183,818,745
Brantley County,All Schools,Brantley County – All Schools,1828,1520,934,808
Brooks County,All Schools,Brooks County – All Schools,1362,1462,1340,854
Bryan County,All Schools,Bryan County – All Schools,2035,1947,1598,1977
Bulloch County,All Schools,Bulloch County – All Schools,4552,4661,4062,4457
Burke County,All Schools,Burke County – All Schools,4893,3553,3985,4277
Butts County,All Schools,Butts County – All Schools,2394,2885,2873,2640
Calhoun County,All Schools,Calhoun County – All Schools,446,402,358,364
Camden County,All Schools,Camden County – All Schools,3245,3004,3138,2969
Candler County,All Schools,Candler County – All Schools,1262,1347,853,784
Carroll County,All Schools,Carroll County – All Schools,6817,6241,5634,5213
Catoosa County,All Schools,Catoosa County – All Schools,1798,1519,1461,1267
Charlton County,All Schools,Charlton County – All Schools,1101,1100,1111,1035
Chatham County,All Schools,Chatham County – All Schools,12833,13123,12938,9294
Chattahoochee County,All Schools,Chattahoochee County – All Schools,651,607,518,497
Chattooga County,All Schools,Chattooga County – All Schools,478,379,312,293
Cherokee County,All Schools,Cherokee County – All Schools,9741,10998,12212,11979
Clarke County,All Schools,Clarke County – All Schools,5871,3903,4981,5476
Clay County,All Schools,Clay County – All Schools,517,416,315,263
Clayton County,All Schools,Clayton County – All Schools,23511,20739,22397,20724
Clinch County,All Schools,Clinch County – All Schools,1207,1221,1093,1112
Cobb County,All Schools,Cobb County – All Schools,38039,40173,32955,32368
Coffee County,All Schools,Coffee County – All Schools,5648,5894,4351,3691
Colquitt County,All Schools,Colquitt County – All Schools,3980,3229,2727,2678
Columbia County,All Schools,Columbia County – All Schools,6437,7429,7033,7955
Cook County,All Schools,Cook County – All Schools,2163,1816,1993,1786
Coweta County,All Schools,Coweta County – All Schools,5006,4705,4505,4657
Crawford County,All Schools,Crawford County – All Schools,1452,1277,1314,598
Crisp County,All Schools,Crisp County – All Schools,3748,4162,3728,3263
Dade County,All Schools,Dade County – All Schools,456,682,428,522
Dawson County,All Schools,Dawson County – All Schools,316,196,553,619
Decatur County,All Schools,Decatur County – All Schools,3737,2701,2201,1827
DeKalb County,All Schools,DeKalb County – All Schools,46454,52362,41320,30066
Dodge County,All Schools,Dodge County – All Schools,1743,1788,1755,960
Dooly County,All Schools,Dooly County – All Schools,1784,2101,1812,2015
Dougherty County,All Schools,Dougherty County – All Schools,7865,5271,7507,4825
Douglas County,All Schools,Douglas County – All Schools,15336,14995,14622,14430
Early County,All Schools,Early County – All Schools,1258,1030,1321,1243
Echols County,All Schools,Echols County – All Schools,277,215,244,244
Effingham County,All Schools,Effingham County – All Schools,5226,4969,5411,4899
Elbert County,All Schools,Elbert County – All Schools,1406,1267,1272,1471
Emanuel County,All Schools,Emanuel County – All Schools,2439,2095,2092,2180
Evans County,All Schools,Evans County – All Schools,284,417,401,304
Fannin County,All Schools,Fannin County – All Schools,765,667,836,806
Fayette County,All Schools,Fayette County – All Schools,3641,3424,3814,3732
Floyd County,All Schools,Floyd County – All Schools,1554,1878,1908,1745
Forsyth County,All Schools,Forsyth County – All Schools,4152,3306,3665,4110
Franklin County,All Schools,Franklin County – All Schools,468,283,367,356
Fulton County,All Schools,Fulton County – All Schools,24888,22601,23175,22333
Gilmer County,All Schools,Gilmer County – All Schools,1113,962,665,616
Glascock County,All Schools,Glascock County – All Schools,463,536,581,385
Glynn County,All Schools,Glynn County – All Schools,8261,7925,9883,6410
Gordon County,All Schools,Gordon County – All Schools,2665,2401,2390,2615
Grady County,All Schools,Grady County – All Schools,3624,3487,2505,2417
Greene County,All Schools,Greene County – All Schools,1109,564,715,568
Gwinnett County,All Schools,Gwinnett County – All Schools,51422,51838,52080,49195
Habersham County,All Schools,Habersham County – All Schools,1191,1413,1305,1461
Hall County,All Schools,Hall County – All Schools,8159,8257,8159,7902
Hancock County,All Schools,Hancock County – All Schools,237,230,112,429
Haralson County,All Schools,Haralson County – All Schools,1182,1140,916,722
Harris County,All Schools,Harris County – All Schools,1285,1408,1602,1648
Hart County,All Schools,Hart County – All Schools,977,1063,1044,1127
Heard County,All Schools,Heard County – All Schools,858,769,702,673
Henry County,All Schools,Henry County – All Schools,17023,16896,21322,21058
Houston County,All Schools,Houston County – All Schools,11823,13349,16261,16373
Irwin County,All Schools,Irwin County – All Schools,1044,893,767,528
Jackson County,All Schools,Jackson County – All Schools,1870,2304,1744,1292
Jasper County,All Schools,Jasper County – All Schools,617,960,681,769
Jeff Davis County,All Schools,Jeff Davis County – All Schools,2120,1788,1617,1635
Jefferson County,All Schools,Jefferson County – All Schools,861,436,402,347
Jenkins County,All Schools,Jenkins County – All Schools,421,787,413,798
Johnson County,All Schools,Johnson County – All Schools,671,614,375,380
Jones County,All Schools,Jones County – All Schools,1335,1316,1473,1526
Lamar County,All Schools,Lamar County – All Schools,1919,2238,2496,2070
Lanier County,All Schools,Lanier County – All Schools,1587,1342,1443,1138
Laurens County,All Schools,Laurens County – All Schools,3828,3091,2990,3057
Lee County,All Schools,Lee County – All Schools,3087,2975,1946,2197
Liberty County,All Schools,Liberty County – All Schools,6990,7011,6610,6031
Lincoln County,All Schools,Lincoln County – All Schools,516,588,420,418
Long County,All Schools,Long County – All Schools,3224,3216,2597,1822
Lowndes County,All Schools,Lowndes County – All Schools,2771,2298,1858,1976
Lumpkin County,All Schools,Lumpkin County – All Schools,1597,1234,1024,1079
Macon County,All Schools,Macon County – All Schools,1851,1682,1307,1521
Madison County,All Schools,Madison County – All Schools,1726,1583,1558,1861
Marion County,All Schools,Marion County – All Schools,845,1121,1137,834
McDuffie County,All Schools,McDuffie County – All Schools,4349,3888,3515,3105
McIntosh County,All Schools,McIntosh County – All Schools,1744,2184,1638,1532
Meriwether County,All Schools,Meriwether County – All Schools,1383,1371,654,1071
Miller County,All Schools,Miller County – All Schools,746,627,668,681
Mitchell County,All Schools,Mitchell County – All Schools,464,259,395,10
Monroe County,All Schools,Monroe County – All Schools,1740,2318,2095,2044
Montgomery County,All Schools,Montgomery County – All Schools,452,639,567,671
Morgan County,All Schools,Morgan County – All Schools,2166,1871,1660,1309
Murray County,All Schools,Murray County – All Schools,1491,1229,1500,1266
Muscogee County,All Schools,Muscogee County – All Schools,19906,19362,20423,18190
Newton County,All Schools,Newton County – All Schools,8619,8971,9986,8998
Oconee County,All Schools,Oconee County – All Schools,813,778,893,923
Oglethorpe County,All Schools,Oglethorpe County – All Schools,1723,1288,1145,1172
Paulding County,All Schools,Paulding County – All Schools,12607,12929,13790,12766
Peach County,All Schools,Peach County – All Schools,1971,1776,2142,2691
