SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Forsyth County,Lakeside Middle School,1290,Lakeside Middle School's enrollment is in the 85th percentile of all Georgia schools.,81,6.3,Lakeside Middle School's percentage of students with discipline incidents is in the 31st percentile of all Georgia schools.,153,Lakeside Middle School's total number of discipline incidents is in the 48th percentile of all Georgia schools.,0.119,Lakeside Middle School's incidents per student rate is in the 32nd percentile of all Georgia schools.
Forsyth County,Liberty Middle School,1135,Liberty Middle School's enrollment is in the 80th percentile of all Georgia schools.,94,8.3,Liberty Middle School's percentage of students with discipline incidents is in the 40th percentile of all Georgia schools.,185,Liberty Middle School's total number of discipline incidents is in the 54th percentile of all Georgia schools.,0.163,Liberty Middle School's incidents per student rate is in the 41st percentile of all Georgia schools.
Forsyth County,Silver City Elementary School,1386,Silver City Elementary School's enrollment is in the 88th percentile of all Georgia schools.,39,2.8,Silver City Elementary School's percentage of students with discipline incidents is in the 11th percentile of all Georgia schools.,102,Silver City Elementary School's total number of discipline incidents is in the 38th percentile of all Georgia schools.,0.074,Silver City Elementary School's incidents per student rate is in the 21st percentile of all Georgia schools.
Forsyth County,Kelly Mill Elementary,1311,Kelly Mill Elementary's enrollment is in the 86th percentile of all Georgia schools.,15,1.1,Kelly Mill Elementary's percentage of students with discipline incidents is in the 1st percentile of all Georgia schools.,48,Kelly Mill Elementary's total number of discipline incidents is in the 20th percentile of all Georgia schools.,0.037,Kelly Mill Elementary's incidents per student rate is in the 7th percentile of all Georgia schools.
Forsyth County,Piney Grove Middle School,1056,Piney Grove Middle School's enrollment is in the 76th percentile of all Georgia schools.,26,2.5,Piney Grove Middle School's percentage of students with discipline incidents is in the 9th percentile of all Georgia schools.,34,Piney Grove Middle School's total number of discipline incidents is in the 12th percentile of all Georgia schools.,0.032,Piney Grove Middle School's incidents per student rate is in the 5th percentile of all Georgia schools.
Forsyth County,North Forsyth Middle School,1114,North Forsyth Middle School's enrollment is in the 79th percentile of all Georgia schools.,87,7.8,North Forsyth Middle School's percentage of students with discipline incidents is in the 38th percentile of all Georgia schools.,160,North Forsyth Middle School's total number of discipline incidents is in the 50th percentile of all Georgia schools.,0.144,North Forsyth Middle School's incidents per student rate is in the 38th percentile of all Georgia schools.
Forsyth County,South Forsyth Middle School,1297,South Forsyth Middle School's enrollment is in the 85th percentile of all Georgia schools.,77,5.9,South Forsyth Middle School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,113,South Forsyth Middle School's total number of discipline incidents is in the 39th percentile of all Georgia schools.,0.087,South Forsyth Middle School's incidents per student rate is in the 24th percentile of all Georgia schools.
Forsyth County,Denmark High School,1166,Denmark High School's enrollment is in the 81st percentile of all Georgia schools.,14,1.2,Denmark High School's percentage of students with discipline incidents is in the 1st percentile of all Georgia schools.,24,Denmark High School's total number of discipline incidents is in the 6th percentile of all Georgia schools.,0.021,Denmark High School's incidents per student rate is in the 1st percentile of all Georgia schools.
Forsyth County,DeSana Middle School,739,DeSana Middle School's enrollment is in the 45th percentile of all Georgia schools.,59,8,DeSana Middle School's percentage of students with discipline incidents is in the 39th percentile of all Georgia schools.,85,DeSana Middle School's total number of discipline incidents is in the 33rd percentile of all Georgia schools.,0.115,DeSana Middle School's incidents per student rate is in the 31st percentile of all Georgia schools.
Forsyth County,Forsyth Central High School,2469,Forsyth Central High School's enrollment is in the 98th percentile of all Georgia schools.,248,10,Forsyth Central High School's percentage of students with discipline incidents is in the 45th percentile of all Georgia schools.,437,Forsyth Central High School's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.177,Forsyth Central High School's incidents per student rate is in the 43rd percentile of all Georgia schools.
Franklin County,Franklin County Middle School,885,Franklin County Middle School's enrollment is in the 63rd percentile of all Georgia schools.,100,11.3,Franklin County Middle School's percentage of students with discipline incidents is in the 50th percentile of all Georgia schools.,193,Franklin County Middle School's total number of discipline incidents is in the 55th percentile of all Georgia schools.,0.218,Franklin County Middle School's incidents per student rate is in the 49th percentile of all Georgia schools.
Franklin County,Royston Elementary School,614,Royston Elementary School's enrollment is in the 28th percentile of all Georgia schools.,11,1.8,Royston Elementary School's percentage of students with discipline incidents is in the 3rd percentile of all Georgia schools.,13,Royston Elementary School's total number of discipline incidents is in the 0th percentile of all Georgia schools.,0.021,Royston Elementary School's incidents per student rate is in the 1st percentile of all Georgia schools.
Franklin County,Franklin County High School,1213,Franklin County High School's enrollment is in the 83rd percentile of all Georgia schools.,112,9.2,Franklin County High School's percentage of students with discipline incidents is in the 42nd percentile of all Georgia schools.,150,Franklin County High School's total number of discipline incidents is in the 48th percentile of all Georgia schools.,0.124,Franklin County High School's incidents per student rate is in the 34th percentile of all Georgia schools.
Fulton County,Summit Hill Elementary,767,Summit Hill Elementary's enrollment is in the 48th percentile of all Georgia schools.,11,1.4,Summit Hill Elementary's percentage of students with discipline incidents is in the 2nd percentile of all Georgia schools.,37,Summit Hill Elementary's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.048,Summit Hill Elementary's incidents per student rate is in the 11th percentile of all Georgia schools.
