SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Chatham County – Oglethorpe Charter School,608,28,Oglethorpe Charter School's enrollment is in the 28th percentile of all Georgia schools.,41,6.7,33,Oglethorpe Charter School's percentage of students with discipline incidents is in the 33rd percentile of all Georgia schools.,50,21,Oglethorpe Charter School's total number of discipline incidents is in the 21st percentile of all Georgia schools.,0.082,23,Oglethorpe Charter School's incidents per student rate is in the 23rd percentile of all Georgia schools.
Chatham County – The STEM Academy at Bartlett,706,40,The STEM Academy at Bartlett's enrollment is in the 40th percentile of all Georgia schools.,48,6.8,34,The STEM Academy at Bartlett's percentage of students with discipline incidents is in the 34th percentile of all Georgia schools.,66,26,The STEM Academy at Bartlett's total number of discipline incidents is in the 26th percentile of all Georgia schools.,0.093,26,The STEM Academy at Bartlett's incidents per student rate is in the 26th percentile of all Georgia schools.
Chatham County – Savannah Classical Academy Charter School,496,15,Savannah Classical Academy Charter School's enrollment is in the 15th percentile of all Georgia schools.,18,3.6,17,Savannah Classical Academy Charter School's percentage of students with discipline incidents is in the 17th percentile of all Georgia schools.,19,3,Savannah Classical Academy Charter School's total number of discipline incidents is in the 3rd percentile of all Georgia schools.,0.038,8,Savannah Classical Academy Charter School's incidents per student rate is in the 8th percentile of all Georgia schools.
Chatham County – East Broad Street School,765,48,East Broad Street School's enrollment is in the 48th percentile of all Georgia schools.,131,17.1,66,East Broad Street School's percentage of students with discipline incidents is in the 66th percentile of all Georgia schools.,246,62,East Broad Street School's total number of discipline incidents is in the 62nd percentile of all Georgia schools.,0.322,61,East Broad Street School's incidents per student rate is in the 61st percentile of all Georgia schools.
Chatham County – Esther F. Garrison School of Visual and Performing Arts,768,48,Esther F. Garrison School of Visual and Performing Arts's enrollment is in the 48th percentile of all Georgia schools.,18,2.3,7,Esther F. Garrison School of Visual and Performing Arts's percentage of students with discipline incidents is in the 7th percentile of all Georgia schools.,27,8,Esther F. Garrison School of Visual and Performing Arts's total number of discipline incidents is in the 8th percentile of all Georgia schools.,0.035,6,Esther F. Garrison School of Visual and Performing Arts's incidents per student rate is in the 6th percentile of all Georgia schools.
Chatham County – Georgetown School,796,53,Georgetown School's enrollment is in the 53rd percentile of all Georgia schools.,53,6.7,33,Georgetown School's percentage of students with discipline incidents is in the 33rd percentile of all Georgia schools.,84,33,Georgetown School's total number of discipline incidents is in the 33rd percentile of all Georgia schools.,0.106,28,Georgetown School's incidents per student rate is in the 28th percentile of all Georgia schools.
Chatham County – Garden City Elementary School,872,62,Garden City Elementary School's enrollment is in the 62nd percentile of all Georgia schools.,65,7.5,37,Garden City Elementary School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,197,56,Garden City Elementary School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.226,50,Garden City Elementary School's incidents per student rate is in the 50th percentile of all Georgia schools.
Chatham County – West Chatham Middle School,958,69,West Chatham Middle School's enrollment is in the 69th percentile of all Georgia schools.,196,20.5,74,West Chatham Middle School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,413,75,West Chatham Middle School's total number of discipline incidents is in the 75th percentile of all Georgia schools.,0.431,71,West Chatham Middle School's incidents per student rate is in the 71st percentile of all Georgia schools.
Chatham County – West Chatham Elementary School,1008,72,West Chatham Elementary School's enrollment is in the 72nd percentile of all Georgia schools.,32,3.2,14,West Chatham Elementary School's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,55,23,West Chatham Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.055,14,West Chatham Elementary School's incidents per student rate is in the 14th percentile of all Georgia schools.
Chatham County – DeRenne Middle School,715,42,DeRenne Middle School's enrollment is in the 42nd percentile of all Georgia schools.,138,19.3,71,DeRenne Middle School's percentage of students with discipline incidents is in the 71st percentile of all Georgia schools.,228,60,DeRenne Middle School's total number of discipline incidents is in the 60th percentile of all Georgia schools.,0.319,61,DeRenne Middle School's incidents per student rate is in the 61st percentile of all Georgia schools.
Chatham County – The School of Liberal Studies at Savannah High,661,35,The School of Liberal Studies at Savannah High's enrollment is in the 35th percentile of all Georgia schools.,259,39.2,97,The School of Liberal Studies at Savannah High's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,533,81,The School of Liberal Studies at Savannah High's total number of discipline incidents is in the 81st percentile of all Georgia schools.,0.806,91,The School of Liberal Studies at Savannah High's incidents per student rate is in the 91st percentile of all Georgia schools.
Chatham County – Godley Station School,1702,93,Godley Station School's enrollment is in the 93rd percentile of all Georgia schools.,70,4.1,20,Godley Station School's percentage of students with discipline incidents is in the 20th percentile of all Georgia schools.,115,40,Godley Station School's total number of discipline incidents is in the 40th percentile of all Georgia schools.,0.068,19,Godley Station School's incidents per student rate is in the 19th percentile of all Georgia schools.
Chatham County – Marshpoint Elementary School,982,70,Marshpoint Elementary School's enrollment is in the 70th percentile of all Georgia schools.,28,2.9,11,Marshpoint Elementary School's percentage of students with discipline incidents is in the 11th percentile of all Georgia schools.,36,14,Marshpoint Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.037,7,Marshpoint Elementary School's incidents per student rate is in the 7th percentile of all Georgia schools.
Chatham County – Southwest Middle School,992,71,Southwest Middle School's enrollment is in the 71st percentile of all Georgia schools.,234,23.6,81,Southwest Middle School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,561,83,Southwest Middle School's total number of discipline incidents is in the 83rd percentile of all Georgia schools.,0.566,80,Southwest Middle School's incidents per student rate is in the 80th percentile of all Georgia schools.
Chatham County – Southwest Elementary School,1008,72,Southwest Elementary School's enrollment is in the 72nd percentile of all Georgia schools.,67,6.6,33,Southwest Elementary School's percentage of students with discipline incidents is in the 33rd percentile of all Georgia schools.,116,40,Southwest Elementary School's total number of discipline incidents is in the 40th percentile of all Georgia schools.,0.115,31,Southwest Elementary School's incidents per student rate is in the 31st percentile of all Georgia schools.
Chatham County – Myers Middle School,718,42,Myers Middle School's enrollment is in the 42nd percentile of all Georgia schools.,289,40.3,98,Myers Middle School's percentage of students with discipline incidents is in the 98th percentile of all Georgia schools.,801,90,Myers Middle School's total number of discipline incidents is in the 90th percentile of all Georgia schools.,1.116,96,Myers Middle School's incidents per student rate is in the 96th percentile of all Georgia schools.
Chatham County – Coastal Middle School,765,48,Coastal Middle School's enrollment is in the 48th percentile of all Georgia schools.,96,12.5,54,Coastal Middle School's percentage of students with discipline incidents is in the 54th percentile of all Georgia schools.,148,47,Coastal Middle School's total number of discipline incidents is in the 47th percentile of all Georgia schools.,0.193,45,Coastal Middle School's incidents per student rate is in the 45th percentile of all Georgia schools.
Chatham County – Islands High School,1090,77,Islands High School's enrollment is in the 77th percentile of all Georgia schools.,74,6.8,34,Islands High School's percentage of students with discipline incidents is in the 34th percentile of all Georgia schools.,108,39,Islands High School's total number of discipline incidents is in the 39th percentile of all Georgia schools.,0.099,28,Islands High School's incidents per student rate is in the 28th percentile of all Georgia schools.
Chatham County – Shuman Elementary School,973,70,Shuman Elementary School's enrollment is in the 70th percentile of all Georgia schools.,50,5.1,25,Shuman Elementary School's percentage of students with discipline incidents is in the 25th percentile of all Georgia schools.,66,26,Shuman Elementary School's total number of discipline incidents is in the 26th percentile of all Georgia schools.,0.068,19,Shuman Elementary School's incidents per student rate is in the 19th percentile of all Georgia schools.
Chatham County – Rice Creek School,840,57,Rice Creek School's enrollment is in the 57th percentile of all Georgia schools.,71,8.5,40,Rice Creek School's percentage of students with discipline incidents is in the 40th percentile of all Georgia schools.,137,44,Rice Creek School's total number of discipline incidents is in the 44th percentile of all Georgia schools.,0.163,41,Rice Creek School's incidents per student rate is in the 41st percentile of all Georgia schools.
Chatham County – Bartow Elementary School,750,46,Bartow Elementary School's enrollment is in the 46th percentile of all Georgia schools.,174,23.2,80,Bartow Elementary School's percentage of students with discipline incidents is in the 80th percentile of all Georgia schools.,293,66,Bartow Elementary School's total number of discipline incidents is in the 66th percentile of all Georgia schools.,0.391,67,Bartow Elementary School's incidents per student rate is in the 67th percentile of all Georgia schools.
Chatham County – White Bluff Elementary School,832,56,White Bluff Elementary School's enrollment is in the 56th percentile of all Georgia schools.,48,5.8,28,White Bluff Elementary School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,90,35,White Bluff Elementary School's total number of discipline incidents is in the 35th percentile of all Georgia schools.,0.108,30,White Bluff Elementary School's incidents per student rate is in the 30th percentile of all Georgia schools.
Chatham County – Beach High School,1085,77,Beach High School's enrollment is in the 77th percentile of all Georgia schools.,253,23.3,80,Beach High School's percentage of students with discipline incidents is in the 80th percentile of all Georgia schools.,438,76,Beach High School's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.404,69,Beach High School's incidents per student rate is in the 69th percentile of all Georgia schools.
Chatham County – Gould Elementary School,1002,72,Gould Elementary School's enrollment is in the 72nd percentile of all Georgia schools.,65,6.5,32,Gould Elementary School's percentage of students with discipline incidents is in the 32nd percentile of all Georgia schools.,111,39,Gould Elementary School's total number of discipline incidents is in the 39th percentile of all Georgia schools.,0.111,31,Gould Elementary School's incidents per student rate is in the 31st percentile of all Georgia schools.
Chatham County – Hubert Middle School,585,26,Hubert Middle School's enrollment is in the 26th percentile of all Georgia schools.,130,22.2,78,Hubert Middle School's percentage of students with discipline incidents is in the 78th percentile of all Georgia schools.,250,62,Hubert Middle School's total number of discipline incidents is in the 62nd percentile of all Georgia schools.,0.427,71,Hubert Middle School's incidents per student rate is in the 71st percentile of all Georgia schools.
Chatham County – Largo-Tibet Elementary School,822,56,Largo-Tibet Elementary School's enrollment is in the 56th percentile of all Georgia schools.,73,8.9,41,Largo-Tibet Elementary School's percentage of students with discipline incidents is in the 41st percentile of all Georgia schools.,127,42,Largo-Tibet Elementary School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.155,39,Largo-Tibet Elementary School's incidents per student rate is in the 39th percentile of all Georgia schools.
Chatham County – Spencer Elementary School,527,19,Spencer Elementary School's enrollment is in the 19th percentile of all Georgia schools.,38,7.2,35,Spencer Elementary School's percentage of students with discipline incidents is in the 35th percentile of all Georgia schools.,51,21,Spencer Elementary School's total number of discipline incidents is in the 21st percentile of all Georgia schools.,0.097,27,Spencer Elementary School's incidents per student rate is in the 27th percentile of all Georgia schools.
Chatham County – Thunderbolt Elementary School,427,10,Thunderbolt Elementary School's enrollment is in the 10th percentile of all Georgia schools.,72,16.9,65,Thunderbolt Elementary School's percentage of students with discipline incidents is in the 65th percentile of all Georgia schools.,140,45,Thunderbolt Elementary School's total number of discipline incidents is in the 45th percentile of all Georgia schools.,0.328,62,Thunderbolt Elementary School's incidents per student rate is in the 62nd percentile of all Georgia schools.
Chatham County – Groves High School,791,52,Groves High School's enrollment is in the 52nd percentile of all Georgia schools.,100,12.6,54,Groves High School's percentage of students with discipline incidents is in the 54th percentile of all Georgia schools.,158,49,Groves High School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,0.2,46,Groves High School's incidents per student rate is in the 46th percentile of all Georgia schools.
Chatham County – Isle of Hope School,918,66,Isle of Hope School's enrollment is in the 66th percentile of all Georgia schools.,131,14.3,59,Isle of Hope School's percentage of students with discipline incidents is in the 59th percentile of all Georgia schools.,368,72,Isle of Hope School's total number of discipline incidents is in the 72nd percentile of all Georgia schools.,0.401,68,Isle of Hope School's incidents per student rate is in the 68th percentile of all Georgia schools.
